iter	Passed	Remaining
0	108	32567
1	196	29248
2	299	29651
3	409	30283
4	571	33737
5	684	33518
6	794	33235
7	917	33493
8	1069	34589
9	1175	34087
10	1292	33970
11	1375	33014
12	1488	32854
13	1608	32858
14	1719	32675
15	1816	32246
16	1945	32379
17	2101	32919
18	2205	32621
19	2283	31966
20	2395	31830
21	2520	31855
22	2611	31446
23	2723	31321
24	2845	31296
25	2955	31148
26	3074	31085
27	3181	30901
28	3298	30821
29	3407	30669
30	3536	30690
31	3626	30370
32	3725	30140
33	3834	29997
34	3943	29859
35	4062	29791
36	4169	29634
37	4272	29457
38	4380	29318
39	4498	29242
40	4633	29267
41	4710	28935
42	4810	28750
43	4949	28795
44	5080	28786
45	5192	28670
46	5309	28578
47	5432	28522
48	5557	28466
49	5666	28330
50	5784	28242
51	5890	28093
52	6001	27967
53	6132	27939
54	6243	27810
55	6351	27672
56	6465	27562
57	6601	27543
58	6706	27392
59	6815	27262
60	6929	27151
61	7040	27026
62	7178	27004
63	7291	26885
64	7407	26779
65	7514	26641
66	7639	26565
67	7716	26327
68	7819	26178
69	7926	26043
70	8061	26000
71	8202	25973
72	8310	25843
73	8431	25749
74	8527	25582
75	8640	25465
76	8750	25342
77	8866	25234
78	8978	25116
79	9086	24988
80	9225	24942
81	9332	24811
82	9438	24677
83	9552	24564
84	9698	24530
85	9805	24400
86	9917	24280
87	10031	24166
88	10141	24043
89	10295	24023
90	10400	23887
91	10507	23756
92	10615	23628
93	10751	23560
94	10834	23380
95	10941	23250
96	11065	23157
97	11172	23029
98	11326	22997
99	11446	22893
100	11542	22742
101	11618	22552
102	11737	22449
103	11852	22336
104	11951	22195
105	12061	22074
106	12177	21964
107	12348	21953
108	12430	21781
109	12541	21662
110	12650	21539
111	12783	21457
112	12913	21370
113	13020	21243
114	13127	21118
115	13234	20992
116	13383	20933
117	13491	20808
118	13600	20686
119	13713	20570
120	13839	20473
121	13928	20321
122	14042	20206
123	14150	20084
124	14256	19958
125	14414	19906
126	14523	19783
127	14609	19632
128	14717	19509
129	14838	19403
130	14965	19307
131	15075	19186
132	15188	19071
133	15297	18950
134	15450	18884
135	15566	18771
136	15674	18648
137	15780	18525
138	15909	18427
139	16016	18304
140	16113	18170
141	16221	18049
142	16332	17931
143	16497	17872
144	16612	17758
145	16724	17640
146	16831	17518
147	16967	17426
148	17122	17351
149	17202	17202
150	17316	17087
151	17443	16984
152	17563	16874
153	17669	16751
154	17778	16631
155	17887	16511
156	18011	16405
157	18093	16261
158	18198	16138
159	18308	16019
160	18412	15896
161	18574	15822
162	18673	15694
163	18779	15572
164	18887	15453
165	19029	15361
166	19132	15237
167	19240	15117
168	19354	15002
169	19461	14882
170	19567	14761
171	19713	14670
172	19820	14550
173	19930	14432
174	20033	14309
175	20165	14207
176	20264	14082
177	20374	13964
178	20495	13854
179	20577	13718
180	20681	13597
181	20762	13461
182	20845	13327
183	20954	13210
184	21065	13094
185	21189	12987
186	21286	12863
187	21399	12748
188	21516	12636
189	21624	12519
190	21786	12433
191	21927	12334
192	22040	12219
193	22151	12103
194	22306	12011
195	22395	11883
196	22503	11765
197	22609	11647
198	22893	11619
199	22973	11486
200	23074	11364
201	23190	11250
202	23298	11132
203	23416	11019
204	23503	10891
205	23607	10772
206	23717	10655
207	23830	10540
208	23991	10446
209	24100	10328
210	24213	10213
211	24361	10112
212	24492	10003
213	24607	9888
214	24745	9783
215	24862	9668
216	25040	9577
217	25117	9447
218	25224	9329
219	25336	9213
220	25446	9096
221	25575	8985
222	25668	8862
223	25778	8746
224	25887	8629
225	25995	8511
226	26186	8421
227	26298	8304
228	26417	8190
229	26515	8069
230	26611	7948
231	26692	7823
232	26782	7701
233	26889	7584
234	26998	7467
235	27227	7383
236	27313	7260
237	27397	7137
238	27484	7014
239	27597	6899
240	27741	6791
241	27854	6675
242	27963	6559
243	28093	6447
244	28285	6349
245	28365	6226
246	28465	6107
247	28573	5991
248	28684	5875
249	28810	5762
250	28892	5640
251	29023	5528
252	29162	5417
253	29366	5318
254	29463	5199
255	29544	5077
256	29658	4962
257	29782	4848
258	29895	4732
259	29975	4611
260	30086	4495
261	30193	4379
262	30299	4262
263	30472	4155
264	30570	4037
265	30674	3920
266	30791	3805
267	30911	3690
268	31025	3575
269	31134	3459
270	31242	3343
271	31353	3227
272	31528	3118
273	31615	3000
274	31688	2880
275	31794	2764
276	31902	2648
277	32030	2534
278	32146	2419
279	32254	2303
280	32363	2188
281	32475	2072
282	32606	1958
283	32694	1841
284	32801	1726
285	32909	1610
286	33033	1496
287	33169	1382
288	33277	1266
289	33390	1151
290	33499	1036
291	33764	925
292	33874	809
293	33982	693
294	34090	577
295	34215	462
296	34296	346
297	34386	230
298	34493	115
299	34601	0
