iter	Logloss
0	0.6491744067
1	0.6126845541
2	0.589323614
3	0.5725085915
4	0.5565336462
5	0.5416711625
6	0.5303036113
7	0.5212133422
8	0.5125708907
9	0.5063604823
10	0.4985416774
11	0.4933475503
12	0.4884999258
13	0.4845903912
14	0.4785947575
15	0.4750737151
16	0.4723093621
17	0.4674737081
18	0.4601345452
19	0.4566596974
20	0.4540234671
21	0.450780187
22	0.4479236775
23	0.445265653
24	0.4430293566
25	0.4400304914
26	0.4362565586
27	0.4341926438
28	0.4315370539
29	0.4304657348
30	0.4263212502
31	0.4252777369
32	0.4236968438
33	0.4218558954
34	0.4201320569
35	0.4183841114
36	0.4160738635
37	0.4140300552
38	0.4102052105
39	0.4085773063
40	0.4062818
41	0.404147026
42	0.402099616
43	0.4003700754
44	0.3983884271
45	0.3966829132
46	0.3952261625
47	0.3942320398
48	0.3930969162
49	0.3900985758
50	0.3884106045
51	0.3876520021
52	0.3860079445
53	0.3851736711
54	0.382524261
55	0.3811307645
56	0.3795870375
57	0.3786366248
58	0.3767724827
59	0.3756093377
60	0.3735877506
61	0.3723053418
62	0.3714156276
63	0.3702799274
64	0.3696146177
65	0.3684069957
66	0.3647560568
67	0.3637587891
68	0.3629579188
69	0.3617409511
70	0.3599628409
71	0.3589793285
72	0.3578256557
73	0.3567648492
74	0.355691768
75	0.3549628403
76	0.3518496752
77	0.3485366045
78	0.3478440644
79	0.3470372122
80	0.3461823349
81	0.3450282239
82	0.3444576484
83	0.3430781036
84	0.3412034605
85	0.3397704266
86	0.337451854
87	0.3362639369
88	0.3347441235
89	0.3336418105
90	0.3329147584
91	0.3308006052
92	0.3300698305
93	0.3287207019
94	0.328308884
95	0.3271971234
96	0.3251170895
97	0.3245084417
98	0.3240354741
99	0.3234853654
