iter	Passed	Remaining
0	12	1280
1	14	703
2	20	652
3	23	564
4	29	565
5	36	565
6	38	513
7	41	474
8	43	439
9	45	413
10	47	387
11	50	367
12	52	349
13	53	330
14	55	316
15	57	303
16	60	296
17	63	288
18	65	280
19	67	270
20	69	262
21	72	255
22	75	252
23	77	246
24	80	240
25	82	234
26	84	228
27	86	223
28	89	218
29	91	213
30	94	211
31	98	209
32	101	205
33	103	200
34	105	196
35	108	192
36	111	189
37	113	185
38	116	182
39	118	177
40	120	173
41	122	169
42	125	165
43	127	161
44	129	158
45	133	156
46	137	154
47	140	152
48	144	149
49	145	145
50	147	141
51	149	138
52	151	134
53	153	130
54	155	127
55	157	123
56	158	119
57	159	115
58	160	111
59	161	107
60	163	104
61	164	100
62	165	97
63	167	94
64	168	90
65	170	87
66	171	84
67	172	81
68	174	78
69	175	75
70	176	72
71	177	69
72	179	66
73	180	63
74	181	60
75	182	57
76	184	55
77	185	52
78	186	49
79	187	46
80	189	44
81	190	41
82	191	39
83	192	36
84	194	34
85	195	31
86	196	29
87	197	26
88	199	24
89	200	22
90	201	19
91	203	17
92	204	15
93	205	13
94	206	10
95	208	8
96	209	6
97	210	4
98	211	2
99	212	0
